Date,DRC_cases,cumcases
5/3/2018,1,1
5/4/2018,,1
5/5/2018,1,2
5/6/2018,,2
5/7/2018,,2
5/8/2018,,2
5/9/2018,,2
5/10/2018,,2
5/11/2018,,2
5/12/2018,,2
5/13/2018,,2
5/14/2018,,2
5/15/2018,,2
5/16/2018,,2
5/17/2018,,2
5/18/2018,,2
5/19/2018,,2
5/20/2018,,2
5/21/2018,,2
5/22/2018,2,4
5/23/2018,,4
5/24/2018,,4
5/25/2018,,4
5/26/2018,,4
5/27/2018,,4
5/28/2018,,4
5/29/2018,,4
5/30/2018,,4
5/31/2018,,4
6/1/2018,,4
6/2/2018,,4
6/3/2018,,4
6/4/2018,,4
6/5/2018,,4
6/6/2018,,4
6/7/2018,,4
6/8/2018,2,6
6/9/2018,,6
6/10/2018,,6
6/11/2018,,6
6/12/2018,,6
6/13/2018,,6
6/14/2018,,6
6/15/2018,,6
6/16/2018,,6
6/17/2018,,6
6/18/2018,,6
6/19/2018,,6
6/20/2018,,6
6/21/2018,,6
6/22/2018,,6
6/23/2018,,6
6/24/2018,1,7
6/25/2018,,7
6/26/2018,,7
6/27/2018,,7
6/28/2018,,7
6/29/2018,1,8
6/30/2018,1,9
7/1/2018,,9
7/2/2018,1,10
7/3/2018,,10
7/4/2018,,10
7/5/2018,,10
7/6/2018,,10
7/7/2018,,10
7/8/2018,1,11
7/9/2018,,11
7/10/2018,,11
7/11/2018,,11
7/12/2018,1,12
7/13/2018,,12
7/14/2018,,12
7/15/2018,,12
7/16/2018,,12
7/17/2018,,12
7/18/2018,3,15
7/19/2018,,15
7/20/2018,,15
7/21/2018,,15
7/22/2018,1,16
7/23/2018,1,17
7/24/2018,,17
7/25/2018,2,19
7/26/2018,2,21
7/27/2018,1,22
7/28/2018,1,23
7/29/2018,2,25
7/30/2018,4,29
7/31/2018,3,32
8/1/2018,2,34
8/2/2018,1,35
8/3/2018,5,40
8/4/2018,2,42
8/5/2018,4,46
8/6/2018,5,51
8/7/2018,3,54
8/8/2018,5,59
8/9/2018,5,64
8/10/2018,10,74
8/11/2018,4,78
8/12/2018,8,86
8/13/2018,5,91
8/14/2018,4,95
8/15/2018,2,97
8/16/2018,3,100
8/17/2018,2,102
8/18/2018,1,103
8/19/2018,,103
8/20/2018,3,106
8/21/2018,,106
8/22/2018,1,107
8/23/2018,2,109
8/24/2018,,109
8/25/2018,2,111
8/26/2018,2,113
8/27/2018,2,115
8/28/2018,7,122
8/29/2018,1,123
8/30/2018,,123
8/31/2018,2,125
9/1/2018,1,126
9/2/2018,2,128
9/3/2018,,128
9/4/2018,,128
9/5/2018,1,129
9/6/2018,,129
9/7/2018,,129
9/8/2018,3,132
9/9/2018,2,134
9/10/2018,2,136
9/11/2018,1,137
9/12/2018,1,138
9/13/2018,4,142
9/14/2018,,142
9/15/2018,3,145
9/16/2018,2,147
9/17/2018,1,148
9/18/2018,2,150
9/19/2018,1,151
9/20/2018,4,155
9/21/2018,,155
9/22/2018,3,158
9/23/2018,1,159
9/24/2018,8,167
9/25/2018,4,171
9/26/2018,3,174
9/27/2018,2,176
9/28/2018,1,177
9/29/2018,4,181
9/30/2018,6,187
10/1/2018,3,190
10/2/2018,2,192
10/3/2018,4,196
10/4/2018,4,200
10/5/2018,6,206
10/6/2018,2,208
10/7/2018,4,212
10/8/2018,2,214
10/9/2018,2,216
10/10/2018,6,222
10/11/2018,3,225
10/12/2018,4,229
10/13/2018,3,232
10/14/2018,6,238
10/15/2018,6,244
10/16/2018,7,251
10/17/2018,2,253
10/18/2018,5,258
10/19/2018,3,261
10/20/2018,6,267
10/21/2018,8,275
10/22/2018,3,278
10/23/2018,5,283
10/24/2018,2,285
10/25/2018,5,290
10/26/2018,4,294
10/27/2018,1,295
10/28/2018,8,303
10/29/2018,6,309
10/30/2018,5,314
10/31/2018,3,317
11/1/2018,4,321
11/2/2018,3,324
11/3/2018,3,327
11/4/2018,6,333
11/5/2018,2,335
11/6/2018,6,341
11/7/2018,2,343
11/8/2018,5,348
11/9/2018,3,351
11/10/2018,3,354
11/11/2018,1,355
11/12/2018,1,356
11/13/2018,10,366
11/14/2018,8,374
11/15/2018,11,385
11/16/2018,9,394
11/17/2018,3,397
11/18/2018,2,399
11/19/2018,5,404
11/20/2018,2,406
11/21/2018,2,408
11/22/2018,1,409
11/23/2018,7,416
11/24/2018,4,420
11/25/2018,2,422
11/26/2018,4,426
11/27/2018,7,433
11/28/2018,4,437
11/29/2018,7,444
11/30/2018,6,450
12/1/2018,7,457
12/2/2018,4,461
12/3/2018,3,464
12/4/2018,4,468
12/5/2018,8,476
12/6/2018,1,477
12/7/2018,3,480
12/8/2018,0,480
12/9/2018,3,483
12/10/2018,3,486
12/11/2018,5,491
12/12/2018,6,497
12/13/2018,4,501
12/14/2018,2,503
12/15/2018,2,505
12/16/2018,0,505
12/17/2018,2,507
12/18/2018,5,512
12/19/2018,4,516
12/20/2018,6,522
12/21/2018,5,527
12/22/2018,3,530
12/23/2018,3,533
12/24/2018,3,536
12/25/2018,3,539
12/26/2018,5,544
12/27/2018,4,548
12/28/2018,1,549
12/29/2018,2,551
12/30/2018,5,556
12/31/2018,1,557
1/1/2019,5,562
1/2/2019,9,571
1/3/2019,1,572
1/4/2019,3,575
1/5/2019,4,579
1/6/2019,6,585
1/7/2019,9,594
1/8/2019,7,601
1/9/2019,7,608
1/10/2019,3,611
1/11/2019,5,616
1/12/2019,6,622
1/13/2019,4,626
1/14/2019,12,638
1/15/2019,3,641
1/16/2019,3,644
1/17/2019,1,645
1/18/2019,5,650
1/19/2019,8,658
1/20/2019,3,661
1/21/2019,5,666
1/22/2019,7,673
1/23/2019,5,678
1/24/2019,11,689
1/25/2019,6,695
1/26/2019,7,702
1/27/2019,4,706
1/28/2019,2,708
1/29/2019,7,715
1/30/2019,1,716
1/31/2019,2,718
2/1/2019,5,723
2/2/2019,7,730
2/3/2019,4,734
2/4/2019,4,738
2/5/2019,3,741
2/6/2019,2,743
2/7/2019,6,749
2/8/2019,3,752
2/9/2019,2,754
2/10/2019,5,759
2/11/2019,2,761
2/12/2019,2,763
2/13/2019,4,767
2/14/2019,3,770
2/15/2019,3,773
2/16/2019,6,779
2/17/2019,3,782
2/18/2019,4,786
2/19/2019,4,790
2/20/2019,4,794
2/21/2019,2,796
2/22/2019,2,798
2/23/2019,5,803
2/24/2019,3,806
2/25/2019,7,813
2/26/2019,4,817
2/27/2019,4,821
2/28/2019,8,829
3/1/2019,4,833
3/2/2019,4,837
3/3/2019,9,846
3/4/2019,8,854
3/5/2019,5,859
3/6/2019,5,864
3/7/2019,10,874
3/8/2019,8,882
3/9/2019,5,887
3/10/2019,4,891
3/11/2019,10,901
3/12/2019,1,902
3/13/2019,8,910
3/14/2019,6,916
3/15/2019,4,920
3/16/2019,6,926
3/17/2019,18,944
3/18/2019,11,955
3/19/2019,12,967
3/20/2019,13,980
3/21/2019,19,999
3/22/2019,14,1013
3/23/2019,9,1022
3/24/2019,9,1031
3/25/2019,13,1044
3/26/2019,10,1054
3/27/2019,3,1057
3/28/2019,9,1066
3/29/2019,13,1079
3/30/2019,8,1087
3/31/2019,11,1098
4/1/2019,14,1112
4/2/2019,22,1134
4/3/2019,17,1151
4/4/2019,25,1176
4/5/2019,24,1200
4/6/2019,12,1212
4/7/2019,19,1231
4/8/2019,12,1243
4/9/2019,10,1253
4/10/2019,7,1260
4/11/2019,8,1268
4/12/2019,9,1277
4/13/2019,16,1293
4/14/2019,19,1312
4/15/2019,16,1328
4/16/2019,14,1342
4/17/2019,16,1358
4/18/2019,27,1385
4/19/2019,11,1396
4/20/2019,33,1429
4/21/2019,19,1448
4/22/2019,22,1470
4/23/2019,10,1480
4/24/2019,13,1493
4/25/2019,10,1503
4/26/2019,9,1512
4/27/2019,19,1531
4/28/2019,14,1545
4/29/2019,22,1567
4/30/2019,14,1581
5/1/2019,18,1599
5/2/2019,12,1611
5/3/2019,17,1628
5/4/2019,13,1641
5/5/2019,26,1667
5/6/2019,23,1690
5/7/2019,18,1708
5/8/2019,22,1730
5/9/2019,10,1740
5/10/2019,13,1753
5/11/2019,11,1764
5/12/2019,14,1778
5/13/2019,18,1796
5/14/2019,13,1809
5/15/2019,19,1828
5/16/2019,10,1838
5/17/2019,13,1851
5/18/2019,11,1862
5/19/2019,10,1872
5/20/2019,14,1886
5/21/2019,7,1893
5/22/2019,13,1906
5/23/2019,6,1912
5/24/2019,18,1930
5/25/2019,13,1943
5/26/2019,13,1956
5/27/2019,8,1964
5/28/2019,8,1972
5/29/2019,8,1980
5/30/2019,7,1987
5/31/2019,9,1996
6/1/2019,6,2002
6/2/2019,8,2010
6/3/2019,14,2024
6/4/2019,17,2041
6/5/2019,12,2053
6/6/2019,16,2069
6/7/2019,13,2082
6/8/2019,10,2092
6/9/2019,7,2099
6/10/2019,22,2121
6/11/2019,9,2130
6/12/2019,8,2138
6/13/2019,14,2152
6/14/2019,1,2153
6/15/2019,4,2157
6/16/2019,6,2163
